t,S,,E,,I,,R,,Date,Actual-Confirmed,
0,"15,000,000.00",,0,,2,,-,,02-Mar-20,2,
1,"14,999,995.50",-4.5,4.5,4.5,1.44,-0.56,0.56,5.555.555.556,03-Mar-20,2,
2,"14,999,992.25",-3.25,7.11,2.61,1.69,0.24,0.96,4.012.345.679,04-Mar-20,2,
3,"14,999,988.46",-3.79,9.89,2.78,2.23,0.55,1.43,4.683.519.498,05-Mar-20,2,
4,"14,999,983.43",-5.02,13.5,3.61,3.02,0.79,2.05,6.202.836.258,06-Mar-20,4,
5,"14,999,976.63",-6.81,18.38,4.88,4.11,1.09,2.89,8.402.637.588,07-Mar-20,4,
6,"14,999,967.37",-9.25,25,6.63,5.6,1.48,4.03,1.142.474.863,08-Mar-20,6,
7,"14,999,954.78",-12.59,34.02,9.02,7.61,2.02,5.58,1.554.306.104,09-Mar-20,19,
8,"14,999,937.65",-17.13,46.29,12.27,10.36,2.75,7.7,2.114.793.931,10-Mar-20,27,
9,"14,999,914.35",-23.31,62.99,16.69,14.09,3.74,10.57,2.877.439.495,11-Mar-20,34,
10,"14,999,882.63",-31.71,85.7,22.71,19.18,5.08,14.49,3.915.122.452,12-Mar-20,34,
11,"14,999,839.48",-43.15,116.61,30.91,26.09,6.92,19.82,5.327.023.036,13-Mar-20,69,
12,"14,999,780.78",-58.71,158.66,42.05,35.5,9.41,27.06,7.248.091.958,14-Mar-20,96,
13,"14,999,700.89",-79.88,215.87,57.22,48.31,12.8,36.93,9.861.946.411,15-Mar-20,117,
14,"14,999,592.21",-108.69,293.72,77.85,65.73,17.42,50.35,1.341.841.862,16-Mar-20,134,
15,"14,999,444.33",-147.88,399.64,105.92,89.43,23.7,68.6,1.825.743.236,17-Mar-20,172,
16,"14,999,243.12",-201.21,543.76,144.12,121.68,32.25,93.44,2.484.148.814,18-Mar-20,227,
17,"14,998,969.35",-273.77,739.84,196.09,165.56,43.88,127.24,3.379.985.971,19-Mar-20,311,
18,"14,998,596.87",-372.48,"1,006.63",266.79,225.26,59.7,173.23,4.598.872.228,20-Mar-20,369,
19,"14,998,090.08",-506.79,"1,369.62",362.99,306.49,81.23,235.81,6.257.295.175,21-Mar-20,450,
20,"14,997,400.55",-689.53,"1,863.49",493.86,417.02,110.52,320.94,8.513.739.951,22-Mar-20,514,
21,"14,996,462.42",-938.13,"2,535.40",671.91,567.39,150.37,436.78,115.838.252,23-Mar-20,579,
22,"14,995,186.09","-1,276.33","3,449.53",914.13,771.98,204.59,594.39,157.608.894,24-Mar-20,686,
23,"14,993,449.69","-1,736.41","4,693.15","1,243.61","1,050.33",278.35,808.83,2.144.398.606,25-Mar-20,790,
24,"14,991,087.47","-2,362.22","6,384.92","1,691.77","1,429.02",378.69,"1,100.59",291.759.471,26-Mar-20,893,
25,"14,987,874.07","-3,213.39","8,686.18","2,301.26","1,944.20",515.18,"1,497.54",3.969.512.123,27-Mar-20,1046,
26,"14,983,503.15","-4,370.92","11,816.22","3,130.04","2,645.03",700.83,"2,037.60",5.400.567.546,28-Mar-20,1155,
27,"14,977,558.38","-5,944.77","16,072.96","4,256.74","3,598.33",953.3,"2,772.33",7.347.307.265,29-Mar-20,1285,
28,"14,969,474.24","-8,084.13","21,860.96","5,788.00","4,894.93","1,296.60","3,771.86",9.995.365.462,30-Mar-20,1414,
29,"14,958,483.06","-10,991.19","29,729.15","7,868.19","6,658.22","1,763.29","5,131.57",1.359.703.527,31-Mar-20,1528,
